id, prediction, stock
244, 5171, 3483
245, 7950, 4006
246, 2237, 7958
247, 7594, 6111
248, 718, 8438
249, 82, 5223
250, 1623, 1805
251, 2533, 4360
252, 7215, 6251
253, 3411, 3468
254, 6945, 444
255, 4856, 547
256, 8187, 5009
257, 6647, 1770
258, 6500, 4682
259, 7796, 6202
260, 3349, 6621
261, 5718, 8621
262, 9962, 2824
263, 7147, 7318
264, 9044, 7217
265, 7393, 6084
266, 2898, 6479
267, 8461, 1706
268, 9091, 7240
269, 2630, 6136
270, 1104, 497
271, 4499, 2365
272, 1096, 4699
273, 3689, 1288
274, 3401, 7569
275, 7591, 3076
276, 5569, 6176
277, 3914, 835
278, 811, 7138
279, 7810, 518
280, 331, 1887
281, 5940, 8554
282, 7523, 2161
283, 6383, 5355
284, 2379, 4024
285, 6492, 7870
286, 8366, 5628
287, 9973, 1276
288, 3030, 5494
289, 3994, 7731
290, 7862, 5085
291, 6910, 1125
292, 3763, 5982
293, 2793, 2792
294, 2601, 6132
295, 1614, 176
296, 5464, 2332
297, 5726, 7460
298, 8290, 8262
299, 4284, 3376
300, 5995, 409
301, 1776, 8085
302, 9001, 2443
303, 6054, 6070
304, 6123, 1967
305, 1833, 7926
306, 891, 4882
307, 6960, 2069
308, 4771, 6265
309, 9132, 4830
310, 5447, 6461
311, 4742, 8438
312, 8768, 6352
313, 2272, 2110
314, 428, 3932
315, 4853, 185
316, 1816, 616
317, 4882, 4785
318, 8519, 2533
319, 7802, 5405
320, 9839, 1546
321, 2152, 3049
322, 9217, 3320
323, 7836, 3707
324, 7095, 6204
325, 8313, 6172
326, 538, 5649
327, 8273, 731
328, 4907, 6706
329, 5237, 3910
330, 5051, 987
331, 2879, 4410
332, 3694, 508
333, 8233, 8063
334, 4773, 8205
335, 5719, 4230
336, 6276, 7073
337, 3734, 2175
338, 5205, 3789
339, 1654, 4812
340, 5648, 8584
341, 308, 6332
342, 3227, 707
343, 7694, 6332
344, 9958, 7789
345, 3913, 4852
346, 5512, 5445
347, 172, 7893
348, 5338, 7774
349, 7875, 2354
350, 6568, 1000
351, 3625, 7621
352, 6016, 7141
353, 6589, 1778
354, 3575, 5069
355, 7992, 3353
356, 2441, 1296
357, 2053, 5118
358, 8982, 3617
359, 9882, 3657
360, 9599, 4103
361, 8154, 4623
362, 6627, 7716
363, 2431, 4935
364, 3074, 6448
365, 9541, 552
366, 557, 3666
367, 1420, 4951
368, 6996, 5752
369, 4549, 1413
370, 7560, 8543
371, 6100, 1267
372, 2658, 4229
373, 2439, 8629
374, 9765, 3762
375, 6649, 2221
376, 5030, 4812
377, 8156, 4189
378, 4672, 5341
379, 8127, 222
380, 4305, 4438
381, 4695, 5141
382, 5128, 6879
383, 808, 6292
384, 3630, 5447
385, 9638, 3744
386, 1917, 1170
387, 2818, 6051
388, 5386, 4261
389, 1313, 4925
390, 58, 839
391, 5149, 8579
392, 6594, 4168
393, 7224, 2722
394, 1523, 5152
395, 5255, 834
396, 3636, 1494
397, 9040, 2961
398, 7150, 7465
399, 5977, 3557
400, 5986, 604
401, 9889, 3592
402, 2413, 7602
403, 3363, 4171
404, 2501, 7942
405, 7310, 8522
406, 5326, 7245
407, 6152, 6046
408, 3404, 5365
409, 6527, 6559
410, 4259, 4352
411, 6078, 7818
412, 1023, 6645
413, 9193, 5935
414, 4885, 662
415, 1877, 7592
416, 9262, 4295
417, 313, 5907
418, 1364, 3846
419, 6147, 4466
420, 1570, 319
421, 3304, 5328
422, 7257, 1652
423, 1352, 4696
424, 7180, 2882
425, 8422, 3022
426, 271, 6757
427, 458, 3112
428, 8006, 6646
429, 2490, 1890
430, 503, 6021
431, 5901, 5635
432, 8033, 5641
433, 7436, 7109
434, 3889, 3078
435, 5637, 5876
436, 1940, 5541
437, 1032, 6086
438, 5155, 4343
439, 3614, 5336
440, 1038, 3487
441, 2876, 7478
442, 8090, 5090
443, 4184, 2819
444, 2874, 3120
445, 4991, 1532
446, 323, 7026
447, 1930, 2758
448, 3527, 5670
449, 1771, 613
450, 2637, 6145
451, 676, 480
452, 8135, 7958
453, 4131, 933
454, 1124, 4377
455, 9031, 453
456, 9007, 6741
457, 6074, 5999
458, 7311, 1948
459, 3463, 6473
460, 3504, 8181
461, 820, 3003
462, 2195, 2898
463, 4774, 3819
464, 3690, 5209
465, 4846, 5655
466, 966, 1025
467, 4630, 801
468, 9490, 506
469, 9811, 2656
470, 7821, 2078
471, 8446, 4659
472, 8404, 6999
473, 4423, 5295
474, 4024, 3651
475, 5990, 1099
476, 4433, 1170
477, 4672, 8197
478, 4584, 2003
479, 23, 8430
480, 5524, 3776
481, 9454, 3937
482, 2369, 1133
483, 8418, 7271
484, 7904, 328
485, 2103, 8433
486, 4651, 4541
487, 5115, 4524
488, 6102, 8004
489, 87, 2924
490, 2431, 970
491, 8684, 7534
492, 1827, 2496
493, 4398, 3579
494, 2196, 5105
495, 346, 2593
496, 3437, 252
497, 3578, 2128
498, 9760, 3601
499, 9663, 6993
500, 4072, 214
501, 2608, 2859
502, 8456, 1796
503, 1204, 238
504, 9161, 1179
505, 4749, 3695
506, 9381, 5419
507, 9457, 919
508, 2750, 6208
509, 1443, 7762
510, 2318, 1129
511, 5308, 8327
512, 1063, 6242
513, 5966, 2266
514, 2980, 5415
515, 8033, 4903
516, 6122, 7770
517, 2271, 5691
518, 4518, 7028
519, 5740, 4086
520, 4317, 6085
521, 1764, 4165
522, 3584, 2111
523, 1867, 6961
524, 1059, 1338
525, 8792, 5985
526, 6460, 1194
527, 1301, 4427
528, 2385, 2367
529, 7213, 4759
530, 6726, 5801
531, 5383, 5812
532, 200, 3474
533, 4190, 2951
534, 4509, 3608
535, 143, 5999
536, 9481, 4197
537, 6681, 621
538, 3630, 7214
539, 5398, 5449
540, 743, 5830
541, 3859, 5067
542, 7962, 8552
543, 8969, 7012
544, 8039, 4139
545, 7911, 7580
546, 5861, 3298
547, 3273, 5990
548, 7009, 3215
549, 5115, 3957
550, 2303, 1361
551, 7504, 5143
552, 7713, 8021
553, 556, 986
554, 4185, 4608
555, 1945, 1261
556, 6633, 2843
557, 4680, 3888
558, 7684, 5067
559, 5201, 2657
560, 7662, 7992
561, 8970, 4891
562, 6730, 6641
563, 2525, 3387
564, 6021, 7238
565, 4153, 434
566, 6648, 7934
567, 4834, 257
568, 825, 2916
569, 4581, 6020
570, 3160, 822
571, 8255, 3220
572, 2046, 5062
573, 4745, 836
574, 6136, 7507
575, 1996, 1792
576, 630, 6884
577, 5074, 1722
578, 2187, 8367
579, 5501, 315
580, 7694, 3630
581, 9871, 3528
582, 2511, 3255
583, 965, 3033
584, 7398, 2116
585, 3895, 202
586, 7150, 6705
587, 2437, 6837
588, 9367, 7895
589, 4246, 5183
590, 6021, 6298
591, 2621, 4464
592, 428, 3059
593, 2123, 717
594, 8050, 2734
595, 659, 5922
596, 628, 4834
597, 1067, 5921
598, 9699, 3013
599, 8054, 2088
600, 5450, 1190
601, 83, 5626
602, 7407, 1808
603, 4488, 3120
604, 6824, 5770
605, 4986, 6555
606, 7902, 394
607, 5581, 4779
608, 5996, 3033
609, 8807, 56
610, 2615, 898
611, 8352, 3051
612, 6715, 571
613, 8577, 1030
614, 6003, 6904
615, 7688, 1708
616, 3085, 621
617, 1374, 1362
618, 1445, 3818
619, 7541, 8392
620, 3218, 2473
621, 7995, 5690
622, 5079, 5687
623, 5379, 6092
624, 2011, 4634
625, 7747, 4646
626, 9996, 5617
627, 5632, 4099
628, 4226, 8158
629, 2426, 8370
630, 362, 620
631, 6902, 7043
632, 6266, 4697
633, 6788, 1242
634, 2933, 374
635, 6115, 3291
636, 8729, 7687
637, 9237, 3410
638, 3732, 1177
639, 1788, 7349
640, 5974, 4350
641, 6190, 6972
642, 9268, 7721
643, 8705, 2132
644, 9130, 4022
645, 5157, 3452
646, 2394, 93
647, 5807, 3893
648, 2816, 6082
649, 258, 7175
650, 7316, 7419
651, 8268, 1750
652, 162, 565
653, 6045, 2207
654, 1038, 7667
655, 214, 7984
656, 7947, 6176
657, 7391, 2467
658, 7698, 114
659, 2904, 6532
660, 9115, 2428
661, 54, 5168
662, 5909, 5392
663, 6106, 129
664, 3703, 1579
665, 3647, 916
666, 3157, 1156
667, 8915, 1088
668, 1300, 1945
669, 8008, 2014
670, 4191, 4064
671, 8149, 800
672, 6616, 331
673, 5699, 1149
674, 7191, 6297
675, 3247, 1022
676, 4394, 8311
677, 5192, 2703
678, 1805, 3596
679, 6295, 7713
680, 589, 3383
681, 4718, 3413
682, 7026, 2461
683, 8937, 2646
684, 5188, 7237
685, 6497, 8252
686, 715, 5840
687, 8176, 5519
688, 6778, 588
689, 6509, 7435
690, 7087, 7379
691, 2592, 362
692, 558, 4129
693, 5412, 6951
694, 9097, 6235
695, 7945, 3602
696, 8620, 1179
697, 6767, 5534
698, 8599, 7216
699, 3020, 2266
700, 8500, 7268
701, 807, 7157
702, 6025, 6482
703, 9983, 5840
704, 9516, 2510
705, 6576, 611
706, 5829, 7260
707, 66, 6265
708, 6775, 2856
709, 5550, 5992
710, 2342, 2619
711, 8446, 7756
712, 1081, 4747
713, 856, 4910
714, 7104, 1677
715, 7496, 7761
716, 2294, 6882
717, 5726, 6090
718, 6321, 6270
719, 2460, 5212
720, 9347, 7905
721, 5152, 4346
722, 9901, 6271
723, 2921, 4357
724, 9630, 2264
725, 7893, 6903
726, 2197, 2241
727, 1099, 642
728, 7834, 159
729, 520, 4906
730, 4444, 3743
731, 2382, 5243
732, 385, 1824
733, 2499, 483
734, 2939, 5235
735, 3582, 4263
736, 3242, 1370
737, 3811, 7924
738, 3256, 5607
739, 3068, 604
740, 174, 3660
741, 3320, 2487
742, 3423, 1742
743, 1080, 1717
744, 4916, 3863
745, 9925, 7934
746, 8333, 7352
747, 4725, 6425
748, 4106, 4686
749, 1232, 5959
750, 8141, 1431
751, 7990, 7877
752, 8002, 5282
753, 6102, 1405
754, 5586, 4466
755, 9153, 1402
756, 1217, 1755
757, 7477, 7021
758, 2584, 5569
759, 8499, 5728
760, 6459, 7910
761, 8297, 3160
762, 2299, 3793
763, 3715, 5464
764, 2638, 4615
765, 5989, 7964
766, 2595, 3753
767, 1213, 4208
768, 7869, 839
769, 2214, 482
770, 2844, 1278
771, 1424, 1925
772, 8347, 6754
773, 1649, 4112
774, 366, 7826
775, 6502, 3021
776, 9934, 3257
777, 3786, 3585
778, 5311, 1536
779, 5398, 1467
780, 4021, 6284
781, 8865, 1042
782, 7039, 1495
783, 5580, 3506
784, 580, 6365
785, 8688, 6261
786, 6088, 6618
787, 6542, 5942
788, 7004, 5822
789, 5088, 4242
790, 4172, 5125
791, 3911, 265
792, 143, 3943
793, 9741, 1290
794, 1572, 7033
795, 77, 5615
796, 5866, 2561
797, 1892, 2556
798, 1440, 1216
799, 7786, 4604
800, 2820, 3439
801, 9650, 318
802, 3140, 4410
803, 1506, 1094
804, 9216, 4925
805, 1774, 6640
806, 853, 5963
807, 1123, 6642
808, 3493, 2536
809, 4870, 7797
810, 9189, 1169
811, 2655, 7545
812, 9504, 8329
813, 5540, 733
814, 5570, 7388
815, 1175, 4942
816, 7923, 2890
817, 7681, 5370
818, 2903, 5292
819, 9946, 5672
820, 6928, 8693
821, 9343, 7709
822, 9855, 8247
823, 4579, 1917
824, 1532, 1558
825, 5723, 8288
826, 6142, 4095
827, 1738, 8578
828, 8231, 1477
829, 775, 3284
830, 7012, 4433
831, 5683, 7221
832, 3003, 488
833, 9204, 5912
834, 7139, 68
835, 8203, 4003
836, 3042, 4827
837, 8946, 1715
838, 9367, 1257
839, 7818, 2238
840, 7229, 6234
841, 1524, 4611
842, 2016, 2206
843, 8028, 3295
844, 2119, 2137
845, 4988, 8315
846, 4065, 383
847, 7929, 1775
848, 2812, 5441
849, 7971, 5394
850, 8641, 3451
851, 3954, 8171
852, 189, 2984
853, 6045, 232
854, 9092, 5638
855, 8657, 6221
856, 1441, 5158
857, 1322, 7587
858, 4352, 6249
859, 1155, 5474
860, 13, 4616
861, 6947, 8236
862, 851, 7130
863, 7812, 6347
864, 8321, 6879
865, 4710, 5675
866, 2243, 2873
867, 8419, 5903
868, 2419, 2681
869, 3501, 6533
870, 2260, 174
871, 5062, 1283
872, 5382, 4002
873, 8551, 46
874, 8864, 6574
875, 2248, 7934
876, 8076, 3738
877, 3513, 3515
878, 3788, 3686
879, 72, 3494
880, 350, 7697
881, 5028, 7419
882, 5933, 3611
883, 7390, 4349
884, 6097, 1192
885, 8278, 1773
886, 3740, 4207
887, 8189, 4306
888, 2072, 7717
889, 6174, 2509
890, 4133, 209
891, 4918, 8246
892, 5713, 2245
893, 3734, 3988
894, 9835, 1277
895, 2902, 3139
896, 9447, 6103
897, 211, 1550
898, 929, 981
899, 3561, 1351
900, 6259, 4988
901, 3899, 8556
902, 4817, 126
903, 3081, 5637
904, 8569, 4318
905, 7599, 341
906, 2786, 5603
907, 4977, 5441
908, 8486, 7587
909, 7707, 8133
910, 9067, 6355
911, 3861, 3496
912, 6965, 3187
913, 359, 5080
914, 5778, 7195
915, 3196, 4898
916, 2892, 7535
917, 3386, 2174
918, 9525, 7233
919, 9319, 7787
920, 754, 2153
921, 4507, 2938
922, 1257, 7227
923, 8606, 8033
924, 9741, 5440
925, 6688, 2202
926, 3956, 1155
927, 2147, 6485
928, 7049, 4218
929, 1114, 4565
930, 69, 7798
931, 6714, 6842
932, 3361, 3449
933, 4140, 3209
934, 8009, 2030
935, 7882, 1611
936, 3926, 5749
937, 1977, 5894
938, 8023, 3591
939, 8153, 5006
940, 3321, 3432
941, 9266, 7858
942, 9654, 6621
943, 8616, 6629
944, 8478, 3875
945, 2580, 8107
946, 1525, 1109
947, 8045, 5905
948, 4201, 5873
949, 2176, 2946
950, 3902, 8624
951, 3243, 2888
952, 8358, 7589
953, 4624, 1683
954, 8068, 4885
955, 4467, 3808
956, 7083, 5878
957, 4056, 3330
958, 1915, 7362
959, 7000, 4095
960, 4591, 4471
961, 5429, 1223
962, 167, 4969
963, 3915, 5999
964, 5699, 1497
965, 3504, 3045
966, 4283, 692
967, 6973, 1125
968, 5211, 7632
969, 5994, 7662
970, 3449, 5739
971, 8246, 8433
972, 8994, 5572
973, 2930, 676
974, 4758, 4636
975, 6223, 5898
976, 174, 4856
977, 9408, 3848
978, 4283, 3947
979, 3811, 7215
980, 1273, 1613
981, 6462, 5146
982, 7808, 3408
983, 5538, 465
984, 3443, 1358
985, 1233, 1963
986, 2948, 5662
987, 6975, 7089
988, 9503, 1120
989, 6885, 489
990, 7621, 3770
991, 8045, 3358
992, 361, 7751
993, 4432, 99
994, 2057, 1489
995, 1714, 167
996, 4107, 2978
997, 3830, 3139
998, 4472, 8546
999, 732, 3427
1000, 264, 2673
1001, 6127, 4871
1002, 3882, 2122
1003, 5425, 5336
1004, 7179, 4693
1005, 791, 95
1006, 3723, 4721
1007, 5142, 55
1008, 3037, 2328
1009, 5680, 8121
1010, 3663, 241
1011, 2874, 761
1012, 8471, 2163
1013, 4309, 6964
1014, 4943, 7833
1015, 2947, 4697
1016, 5852, 2804
1017, 870, 3008
1018, 2372, 743
1019, 5972, 6382
1020, 3073, 8223
1021, 5504, 196
1022, 6418, 2181
1023, 5773, 1518
1024, 2223, 1380
1025, 3424, 3935
1026, 8856, 4620
1027, 2456, 797
1028, 1382, 5306
1029, 6199, 3409
1030, 8494, 2314
1031, 7510, 1179
1032, 323, 5196
1033, 1643, 5213
1034, 5462, 7401
1035, 8603, 5992
1036, 5977, 3697
1037, 3046, 78
1038, 1128, 3696
1039, 8780, 7325
1040, 4320, 2200
1041, 714, 4983
1042, 8832, 3571
1043, 8136, 3235
1044, 8453, 1184
1045, 2047, 8016
1046, 873, 6132
1047, 6671, 5248
1048, 5370, 3739
1049, 7339, 3028
1050, 2348, 8029
1051, 9486, 6303
1052, 471, 4157
1053, 9226, 3823
1054, 2505, 2611
1055, 541, 6662
1056, 4223, 8405
1057, 8487, 3221
1058, 4067, 6590
1059, 1252, 4758
1060, 1905, 6137
1061, 9334, 8440
1062, 1637, 4900
1063, 2576, 5131
1064, 76, 779
1065, 8676, 4577
1066, 3527, 7610
1067, 2005, 6824
1068, 8960, 1208
1069, 8930, 910
1070, 2341, 5384
1071, 6487, 4871
1072, 9281, 6946
1073, 8317, 6345
1074, 221, 1623
1075, 9959, 8047
1076, 2395, 2351
1077, 7816, 365
1078, 9933, 3448
1079, 2423, 5660
1080, 8496, 4607
1081, 861, 204
1082, 9355, 2192
1083, 4102, 5834
1084, 3196, 1272
1085, 1163, 6400
1086, 8051, 1741
1087, 9599, 6642
1088, 4757, 4888
1089, 9253, 7313
1090, 6622, 7582
1091, 9470, 3501
1092, 3832, 4636
1093, 1066, 4009
1094, 648, 7915
1095, 3165, 1700
1096, 251, 2251
1097, 9064, 6118
1098, 197, 2660
1099, 6040, 4574
1100, 5401, 2080
